MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
5052952,,,23/01/2018,12:00:00AM,714.000,0.000,175.000,32.780,362.547,352.194,0.104,0.000,,,,,83.067,92.707,17.611,15.169
5052956,,,23/01/2018,12:00:00AM,506.000,0.000,100.000,22.106,251.157,255.371,0.105,0.000,,,,,50.358,49.906,11.238,10.868
5052957,,,23/01/2018,12:00:00AM,921.000,0.000,70.000,32.394,489.114,432.207,0.105,0.000,,,,,25.817,44.270,20.327,12.067
5052958,,,23/01/2018,12:00:00AM,627.000,0.000,162.000,1.099,242.010,385.204,0.105,0.000,,,,,49.184,113.727,1.014,0.085
5052959,,,23/01/2018,12:00:00AM,616.000,0.000,77.000,67.467,370.118,246.808,0.105,0.000,,,,,39.051,38.398,35.083,32.384
5052961,,,23/01/2018,12:00:00AM,872.000,0.000,7.000,241.812,373.209,499.079,0.105,0.000,,,,,5.234,2.078,118.142,123.670
5052962,,,23/01/2018,12:00:00AM,1097.000,0.000,78.000,31.396,508.494,589.379,0.105,0.000,,,,,34.256,44.276,13.368,18.028
5052963,,,23/01/2018,12:00:00AM,903.000,0.000,68.000,7.667,477.480,425.855,0.105,0.000,,,,,31.693,36.622,4.861,2.806
5052964,,,23/01/2018,12:00:00AM,617.000,0.000,33.000,13.600,246.239,371.110,0.105,0.000,,,,,15.985,17.640,8.059,5.541
5052966,,,23/01/2018,12:00:00AM,387.000,0.000,110.000,15.429,211.439,176.008,0.105,0.000,,,,,54.218,55.987,11.291,4.138
5052967,,,23/01/2018,12:00:00AM,578.000,0.000,28.000,25.020,409.664,169.149,0.105,0.000,,,,,20.066,8.502,10.367,14.653
5052969,,,23/01/2018,12:00:00AM,1023.000,0.000,129.000,32.662,518.896,504.537,0.104,0.000,,,,,68.336,61.525,14.921,17.741
