MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
5053338,,,13/01/2018,12:00:00AM,219.000,1.000,31.000,8.584,157.855,61.173,0.724,0.000,,,,,26.234,5.692,6.341,2.243
5053339,,,13/01/2018,12:00:00AM,564.000,1.000,547.000,0.838,415.781,148.695,0.720,0.000,,,,,391.889,155.176,0.370,0.468
5053340,,,13/01/2018,12:00:00AM,1138.000,1.000,774.000,119.430,904.661,233.447,0.721,0.000,,,,,709.266,65.351,29.477,89.953
5053341,,,13/01/2018,12:00:00AM,2787.000,1.000,1224.000,31.578,2415.083,372.778,0.719,0.000,,,,,1112.984,111.259,7.374,24.204
5053342,,,13/01/2018,12:00:00AM,481.000,1.000,30.000,104.544,396.425,85.266,0.721,0.000,,,,,30.165,0.000,76.843,27.701
5053343,,,13/01/2018,12:00:00AM,978.000,1.000,34.000,143.134,746.933,231.165,0.719,0.000,,,,,10.990,23.544,117.724,25.410
5053344,,,13/01/2018,12:00:00AM,678.000,1.000,5.000,170.883,569.956,108.299,0.720,0.000,,,,,1.956,3.763,119.913,50.970
5053345,,,13/01/2018,12:00:00AM,845.000,1.000,164.000,143.490,696.048,149.664,0.719,0.000,,,,,152.150,12.396,43.675,99.815
5053346,,,13/01/2018,12:00:00AM,744.000,1.000,110.000,34.512,560.913,183.390,0.719,0.000,,,,,83.977,26.234,25.263,9.249
5053348,,,13/01/2018,12:00:00AM,895.000,1.000,55.000,29.745,529.499,366.401,0.717,0.000,,,,,41.130,14.621,20.692,9.053
5053349,,,13/01/2018,12:00:00AM,403.000,1.000,315.000,30.066,343.218,60.237,0.719,0.000,,,,,308.470,6.755,11.692,18.374
5053352,,,13/01/2018,12:00:00AM,460.000,1.000,430.000,0.195,410.611,49.691,0.721,0.000,,,,,417.125,13.629,0.091,0.104
5053364,,,13/01/2018,12:00:00AM,986.000,1.000,130.000,43.425,886.341,99.679,0.721,0.000,,,,,110.781,19.391,30.462,12.963
5053365,,,13/01/2018,12:00:00AM,390.000,1.000,467.000,21.776,330.306,59.763,0.717,0.000,,,,,440.548,27.253,7.045,14.731
5053429,,,13/01/2018,12:00:00AM,1812.000,0.000,2324.000,36.659,1682.287,130.326,0.170,0.000,,,,,2270.055,54.928,8.968,27.691
5053436,,,13/01/2018,12:00:00AM,6387.000,0.000,0.000,3302.750,3439.180,2948.301,0.076,0.000,,,,,0.533,0.033,1612.098,1690.652
5053439,,,13/01/2018,12:00:00AM,856.000,0.000,552.000,18.774,774.050,82.858,0.076,0.000,,,,,539.964,12.422,5.160,13.614
5053440,,,13/01/2018,12:00:00AM,380.000,0.000,399.000,32.198,355.308,24.980,0.076,0.000,,,,,395.249,4.482,7.959,24.239
5053441,,,13/01/2018,12:00:00AM,1319.000,0.000,901.000,106.916,974.104,345.033,0.077,0.000,,,,,885.236,16.395,32.582,74.334
5053442,,,13/01/2018,12:00:00AM,398.000,0.000,67.000,8.318,360.804,38.105,0.076,0.000,,,,,63.806,3.770,4.114,4.204
5053443,,,13/01/2018,12:00:00AM,783.000,0.000,385.000,15.090,633.339,150.449,0.076,0.000,,,,,304.050,81.316,6.815,8.275
5053444,,,13/01/2018,12:00:00AM,771.000,0.000,412.000,292.530,625.492,146.345,0.076,0.000,,,,,375.674,37.105,95.384,197.146
5053447,,,13/01/2018,12:00:00AM,1244.000,0.000,645.000,169.707,1057.915,186.693,0.076,0.000,,,,,640.626,4.536,50.111,119.596
5053448,,,13/01/2018,12:00:00AM,826.000,0.000,676.000,16.537,632.603,193.802,0.076,0.000,,,,,551.057,125.715,4.742,11.795
